publisher,publication_date,climate_change_count,climate_change_IPCCreport_count,insect_decline_count,insect_population_count,insect_population_studies_count,pollinator_decline_count,pollinator_population_count,total_count,climate_change_proportion,climate_change_IPCCreport_proportion,insect_decline_proportion,insect_population_proportion,insect_population_studies_proportion,pollinator_decline_proportion,pollinator_population_proportion
AFP,1991-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-05-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,857.0,0.0011668611435239206,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-06-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1564.0,0.0006393861892583121,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-06-09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1552.0,0.001288659793814433,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-06-16,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1445.0,0.0034602076124567475,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-06-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1659.0,0.0006027727546714888,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-07-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.0,0.0006257822277847309,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-07-28,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1593.0,0.0018832391713747645,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-08-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1279.0,0.0007818608287724785,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-08-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1235.0,0.0008097165991902834,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-08-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,0.0006313131313131314,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-09-01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1677.0,0.0017889087656529517,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-09-15,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1514.0,0.002642007926023778,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-09-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1720.0,0.0005813953488372093,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-09-29,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1495.0,0.0013377926421404682,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-10-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1750.0,0.0005714285714285715,0.0,0.0,0.0,0.0,0.0,0.0
AFP,1991-10-13,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1544.0,0.0019430051813471502,0.0,0.0,0.0,0.0,0.0,0.0
